ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
2,911.9204278126251,0.00650984243530726,0.7534897487659553,3.5038005462907166e-10,2.501225851010625e-15,2.8950747376974797e-13,0.0
3,912.4133585847935,0.01430405613690778,1.0810819535575336,1.7528472478243606e-10,2.7479678148502095e-15,2.0768783239924473e-13,0.0
4,912.9050969948868,0.02484095502026902,1.4087412001670847,1.0522751591061507e-10,2.8633337662752394e-15,1.6238088443420222e-13,0.0
5,913.3955718231595,0.03792645972968135,1.734172072471859,7.018936753528002e-11,2.914437406309205e-15,1.332614747859886e-13,0.0
6,913.8847119490578,0.05337996154164319,2.055020001526612,5.0162110880261104e-11,2.929966454877339e-15,1.1279775209050484e-13,0.0
7,914.3724463551467,0.0710332934940978,2.370056000638972,3.7641661557699193e-11,2.9242035930673967e-15,9.756729460130251e-14,0.0
8,914.8587041310478,0.09072978883944277,2.678808853388318,2.929241713009619e-11,2.9050331038111926e-15,8.577148142212475e-14,0.0
9,915.3434144773992,0.11232341861785529,2.9811906159222223,2.344634946846853e-11,2.8771432500128027e-15,7.636263713432466e-14,0.0
10,915.8265067098291,0.13567800099404875,3.2772844515128345,1.9193501278780558e-11,2.8434816709304527e-15,6.868392959821734e-14,0.0
11,916.307910262949,0.1606664757519384,3.567242744582123,1.6002991940918797e-11,2.8059828883243685e-15,6.230062651807391e-14,0.0
12,916.7875546943582,0.18717023800943422,3.8512419093134627,1.3548081258815585e-11,2.7659598789264334e-15,5.691279082876491e-14,0.0
13,917.265369688671,0.21507852580976114,4.129463343052105,1.1618693401578717e-11,2.724327693190153e-15,5.2306529911038976e-14,0.0
14,917.7412850615514,0.2442878567750983,4.402085763274633,1.0074758773996648e-11,2.68173750978272e-15,4.832511393934116e-14,0.0
15,918.2152307637671,0.274701509480573,4.669282324880467,8.81996643851803e-12,2.6386603195566406e-15,4.485104583067677e-14,0.0
16,918.6871368852557,0.3062290456284185,4.9312196911729735,7.786322963369268e-12,2.5954409877897558e-15,4.179449953874179e-14,0.0
17,919.1569336592075,0.33878586947923595,5.188057882470382,6.9247153074506615e-12,2.5523342210903275e-15,3.908562566313927e-14,0.0
18,919.6245514661565,0.37229282133490377,5.439950422891072,6.19894999672121e-12,2.5095291115422808e-15,3.6669291399823154e-14,0.0
19,920.0899208380866,0.40667580217024696,5.687044593072275,5.581878237594159e-12,2.4671662611221192e-15,3.450140006031421e-14,0.0
20,920.5529724625527,0.44186542678202523,5.929481713036334,5.052812425030973e-12,2.4253499640148672e-15,3.2546262702815506e-14,0.0
