ell,Cl_BB,Dl_BB,Cl_TT_tensor
2,1.12116704972768e-22,1.0706356679755028e-22,7.468220886926045e-23
3,5.597924353482121e-23,1.0691247982934183e-22,3.7272875463979986e-23
4,3.3541727953973215e-23,1.0676663607436883e-22,2.2323914422608674e-23
5,2.233122467525755e-23,1.0662374377088834e-22,1.4856499812493322e-23
6,1.5929786851233016e-23,1.0648278143050854e-22,1.0593341415487292e-23
7,1.1931679559934541e-23,1.063432037557183e-22,7.931286353097963e-24
8,9.268107169874686e-24,1.0620468498175148e-22,6.158176607753213e-24
9,7.404874543224837e-24,1.060670147876616e-22,4.918105509460625e-24
10,6.050710273540062e-24,1.0593004941758967e-22,4.017034287591272e-24
11,5.035767688076261e-24,1.0579368621621132e-22,3.34182659900153e-24
12,4.255563116862133e-24,1.0565784928735319e-22,2.822892271513286e-24
13,3.642952206777859e-24,1.055224809104329e-22,2.4155152634952672e-24
14,3.1531877079474647e-24,1.0538753614545296e-22,2.0898984378707796e-24
15,2.7555165545509048e-24,1.0525297930279794e-22,1.825565521880256e-24
16,2.428238175620231e-24,1.0511878155399833e-22,1.608069174834024e-24
17,2.155685301365113e-24,1.0498491926761676e-22,1.426979877073618e-24
18,1.9263175589110223e-24,1.0485137282116766e-22,1.2746161464732721e-24
19,1.7314826026578735e-24,1.0471812573443586e-22,1.145219432190835e-24
20,1.564590395123611e-24,1.0458516402517024e-22,1.0344042115296367e-24
21,1.4205503479545096e-24,1.0445247572199692e-22,9.387831697264281e-25
22,1.295379858669971e-24,1.0432005049063737e-22,8.557065342195252e-25
23,1.1859270881800142e-24,1.0418787934319589e-22,7.830774919831284e-25
24,1.08967140644839e-24,1.0405595440929544e-22,7.192193298636338e-25
25,1.0045775976829983e-24,1.0392426875390985e-22,6.627783738528523e-25
26,9.289878887931496e-25,1.0379281623090146e-22,6.126521136894931e-25
27,8.615409891246914e-25,1.0366159136417947e-22,5.679353123425062e-25
28,8.0111068623409685e-25,1.0353058925045229e-22,5.278791356814139e-25
29,7.467587799437433e-25,1.033998054790281e-22,4.918598278355862e-25
30,6.976986523962412e-25,1.0326923606519674e-22,4.5935446702735e-25
31,6.53266813552681e-25,1.0313887739452234e-22,4.299220304051955e-25
32,6.129004875190651e-25,1.0300872617596885e-22,4.0318847982238944e-25
33,5.761198174337355e-25,1.0287877940222838e-22,3.7883492167453047e-25
34,5.425136325554234e-25,1.0274903431596365e-22,3.5658813755220487e-25
35,5.117279854169688e-25,1.0261948838093557e-22,3.3621295839374976e-25
36,4.834568596933778e-25,1.0249013925719213e-22,3.1750608317796607e-25
37,4.57434591462256e-25,1.0236098477965029e-22,3.00291037754996e-25
38,4.3342965213016e-25,1.0223202293952931e-22,2.8441403971220895e-25
39,4.1123952048299616e-25,1.0210325186819095e-22,2.697405878854338e-25
40,3.9068643118079254e-25,1.0197466982302174e-22,2.5615263497450223e-25
41,3.716138326195546e-25,1.0184627517505474e-22,2.435462320769164e-25
42,3.5388342207482377e-25,1.0171806639807967e-22,2.3182955724442153e-25
43,3.3737265307667296e-25,1.0159004205903187e-22,2.209212581612763e-25
44,3.2197263099002523e-25,1.0146220080948327e-22,2.10749053035594e-25
45,3.075863292254013e-25,1.0133454137808742e-22,2.0124854474368294e-25
46,2.941270714542116e-25,1.0120706256385287e-22,1.923622118846984e-25
47,2.815172354524803e-25,1.0107976323013817e-22,1.8403854722366456e-25
48,2.696871423536461e-25,1.0095264229927731e-22,1.7623131942862261e-25
49,2.585741016155212e-25,1.008256987477578e-22,1.6889893834896522e-25
50,2.4812158725084074e-25,1.0069893160188467e-22,1.620039075713987e-25
51,2.3827852510602516e-25,1.0057233993387254e-22,1.5551235080777203e-25
52,2.289986744083692e-25,1.0044592285831603e-22,1.4939360095470157e-25
53,2.2024008960082055e-25,1.0031967952899537e-22,1.436198425269664e-25
54,2.1196465077322617e-25,1.0019360913597965e-22,1.3816579968985022e-25
55,2.041376528794784e-25,1.0006771090299513e-22,1.3300846336655581e-25
56,1.9672744548039922e-25,9.994198408502964e-23,1.281268519281058e-25
57,1.8970511603510454e-25,9.981642796614878e-23,1.2350180082645599e-25
58,1.8304421082889346e-25,9.969104185750068e-23,1.1911577724009072e-25
59,1.767204885133346e-25,9.956582509549146e-23,1.149527163917108e-25
60,1.7071170197621847e-25,9.944077704011307e-23,1.1099787669108837e-25
61,1.6499740488128026e-25,9.931589707340875e-23,1.0723771126995849e-25
62,1.595587797409853e-25,9.919118459806317e-23,1.0365975382386225e-25
63,1.543784848272114e-25,9.906663903610465e-23,1.0025251696946135e-25
64,1.4944051759822287e-25,9.894225982770915e-23,9.700540157423167e-26
65,1.4473009263724375e-25,9.8818046430097e-23,9.390861572615541e-26
66,1.4023353236750813e-25,9.869399831651295e-23,9.095310219025933e-26
67,1.359381690385647e-25,9.857011497528302e-23,8.813047335168706e-26
68,1.3183225667515798e-25,9.844639590894079e-23,8.543295277565864e-26
69,1.2790489184845679e-25,9.832284063341709e-23,8.285332262664697e-26
70,1.2414594227409895e-25,9.8199448677288e-23,8.038487628528742e-26
71,1.2054598236610576e-25,9.807621958107555e-23,7.802137558434823e-26
72,1.1709623498322244e-25,9.795315289659753e-23,7.575701215654319e-26
73,1.1378851869720097e-25,9.783024818636161e-23,7.358637244875286e-26
74,1.1061519999309785e-25,9.770750502300061e-23,7.150440601075874e-26
75,1.0756914988160304e-25,9.758492298874554e-23,6.950639671307785e-26
76,1.0464370446426951e-25,9.746250167493306e-23,6.758793658892501e-26
77,1.0183262904555646e-25,9.734024068154563e-23,6.574490203057734e-26
78,9.913008543191941e-26,9.721813961678026e-23,6.397343210119552e-26
79,9.653060209870907e-26,9.709619809664547e-23,6.226990875008486e-26
80,9.402904694115549e-26,9.697441574458283e-23,6.063093874297594e-26
81,9.162060235689763e-26,9.685279219111221e-23,5.905333713962272e-26
82,8.93007424349381e-26,9.673132707349851e-23,5.753411216923222e-26
83,8.706521205005637e-26,9.661002003543856e-23,5.607045137028553e-26
84,8.491000768302108e-26,9.648887072676663e-23,5.46597088754645e-26
85,8.283135980577107e-26,9.636787880317727e-23,5.329939373490554e-26
86,8.082571668739462e-26,9.624704392596421e-23,5.198715918206799e-26
87,7.888972949150358e-26,9.612636576177436e-23,5.072079275631285e-26
88,7.702023854870248e-26,9.600584398237555e-23,4.949820720499065e-26
89,7.521426069950099e-26,9.588547826443777e-23,4.831743209557272e-26
90,7.346897761338263e-26,9.576526828932592e-23,4.7176606075244116e-26
91,7.178172499898094e-26,9.564521374290447e-23,4.6073969721510354e-26
92,7.014998262855702e-26,9.552531431535237e-23,4.500785893284439e-26
93,6.85713651073378e-26,9.540556970098821e-23,4.3976698813290373e-26
94,6.704361332486256e-26,9.528597959810429e-23,4.2978998009315675e-26
95,6.556458653138787e-26,9.516654370880976e-23,4.2013343461121066e-26
96,6.413225498769255e-26,9.504726173888155e-23,4.107839553413261e-26
97,6.274469314137717e-26,9.492813339762344e-23,4.017288349955359e-26
98,6.140007328702227e-26,9.480915839773172e-23,3.9295601335689815e-26
99,6.009665967141456e-26,9.469033645516817e-23,3.8445403824313466e-26
100,5.883280300851145e-26,9.457166728903893e-23,3.7621202918628643e-26
101,5.760693537193758e-26,9.445315062147959e-23,3.6821964361474336e-26
102,5.641756543562579e-26,9.433478617754594e-23,3.604670453427192e-26
103,5.526327403576213e-26,9.421657368510968e-23,3.5294487518914446e-26
104,5.414271002949984e-26,9.409851287475952e-23,3.456442235632506e-26
105,5.305458642799318e-26,9.398060347970673e-23,3.3855660486796374e-26
106,5.199767678319439e-26,9.386284523569509e-23,3.3167393358477905e-26
107,5.0970811809572655e-26,9.37452378809152e-23,3.249885019151769e-26
108,4.997287622347261e-26,9.362778115592276e-23,3.1849295886398e-26
109,4.900280578424654e-26,9.351047480356016e-23,3.121802906594519e-26
110,4.805958452258338e-26,9.33933185688822e-23,3.0604380241348693e-26
111,4.714224214263074e-26,9.327631219908476e-23,3.000771009330283e-26
112,4.6249851585576275e-26,9.315945544343678e-23,2.9427407860094586e-26
113,4.538152674332968e-26,9.304274805321506e-23,2.8862889825107586e-26
114,4.453642031183795e-26,9.292618978164211e-23,2.831359789680353e-26
115,4.371372177437956e-26,9.280978038382656e-23,2.77789982747819e-26
116,4.291265550592776e-26,9.269351961670626e-23,2.7258580196012326e-26
117,4.213247899035384e-26,9.257740723899352e-23,2.675185475578557e-26
118,4.137248114286497e-26,9.246144301112288e-23,2.625835379834283e-26
119,4.063198073064271e-26,9.234562669520101e-23,2.5777628872521814e-26
120,3.9910324885172595e-26,9.222995805495871e-23,2.5309250248106165e-26
121,3.9206887700236105e-26,9.211443685570468e-23,2.485280598888314e-26
122,3.852106890997897e-26,9.199906286428146e-23,2.4407901078708543e-26
123,3.7852292641875305e-26,9.188383584902298e-23,2.3974156597146303e-26
124,3.720000623978139e-26,9.176875557971366e-23,2.3551208941498765e-26
125,3.6563679152616807e-26,9.165382182754951e-23,2.3138709092271136e-26
126,3.5942801884527303e-26,9.153903436510037e-23,2.2736321919324219e-26
127,3.533688500267624e-26,9.142439296627391e-23,2.2343725526162705e-26
128,3.4745458199080575e-26,9.130989740628073e-23,2.1960610629985315e-26
129,3.416806940315631e-26,9.119554746160121e-23,2.1586679975287633e-26
130,3.360428394186746e-26,9.10813429099531e-23,2.1221647778960714e-26
131,3.3053683744585594e-26,9.096728353026078e-23,2.0865239204969426e-26
132,3.2515866589962405e-26,9.085336910262544e-23,2.051718986682421e-26
133,3.199044539229995e-26,9.073959940829644e-23,2.0177245356180556e-26
134,3.147704752507092e-26,9.062597422964367e-23,1.9845160796011743e-26
135,3.09753141793972e-26,9.051249335013092e-23,1.952070041690356e-26
136,3.0484899755439245e-26,9.039915655429029e-23,1.920363715511543e-26
137,3.000547128478259e-26,9.028596362769753e-23,1.8893752271141042e-26
138,2.9536707882032055e-26,9.0172914356948e-23,1.8590834987583758e-26
139,2.907830022393957e-26,9.006000852963393e-23,1.8294682145238682e-26
140,2.8629950054498544e-26,8.994724593432208e-23,1.8005097876343997e-26
141,2.819136971453726e-26,8.983462636053239e-23,1.7721893294030312e-26
142,2.7762281694436566e-26,8.972214959871724e-23,1.7444886197058001e-26
143,2.7342418208682985e-26,8.960981544024154e-23,1.7173900788989647e-26
144,2.693152079104877e-26,8.949762367736352e-23,1.6908767410997696e-26
145,2.6529339909264924e-26,8.938557410321594e-23,1.6649322287557015e-26
146,2.613563459812308e-26,8.927366651178814e-23,1.6395407284318128e-26
147,2.5750172110006692e-26,8.916190069790875e-23,1.614686967749979e-26
148,2.5372727581912733e-26,8.90502764572287e-23,1.5903561934179685e-26
149,2.5003083718081503e-26,8.893879358620504e-23,1.566534150289951e-26
150,2.4641030487404835e-26,8.882745188208521e-23,1.5432070614035472e-26
151,2.4286364834832302e-26,8.871625114289164e-23,1.5203616089417953e-26
152,2.3938890406041098e-26,8.860519116740727e-23,1.4979849160714577e-26
153,2.3598417284678087e-26,8.8494271755161e-23,1.4760645296119256e-26
154,2.3264761741523034e-26,8.838349270641404e-23,1.4545884034916688e-26
155,2.293774599495955e-26,8.827285382214644e-23,1.4335448829516473e-26
156,2.2617197982175508e-26,8.816235490404418e-23,1.412922689457449e-26
157,2.2302951140547817e-26,8.805199575448655e-23,1.392710906284099e-26
158,2.199484419869731e-26,8.794177617653394e-23,1.372898964739542e-26
159,2.1692720976728543e-26,8.783169597391611e-23,1.353476630994703e-26
160,2.1396430195196472e-26,8.772175495102066e-23,1.3344339934898482e-26
161,2.1105825292367523e-26,8.761195291288198e-23,1.3157614508886477e-26
162,2.082076424936646e-26,8.750228966517038e-23,1.2974497005529323e-26
163,2.0541109422823036e-26,8.739276501418182e-23,1.279489727512611e-26
164,2.0266727384653408e-26,8.728337876682751e-23,1.2618727939066356e-26
165,1.999748876863129e-26,8.717413073062429e-23,1.2445904288721927e-26
166,1.973326812342224e-26,8.70650207136849e-23,1.2276344188605436e-26
167,1.947394377177237e-26,8.695604852470882e-23,1.2109967983590975e-26
168,1.9219397675558838e-26,8.684721397297314e-23,1.1946698410003871e-26
169,1.8969515306425388e-26,8.673851686832389e-23,1.1786460510396516e-26
170,1.872418552174058e-26,8.662995702116749e-23,1.1629181551836899e-26
171,1.8483300445630188e-26,8.652153424246239e-23,1.1474790947545651e-26
172,1.8246755354848323e-26,8.641324834371116e-23,1.1323220181725962e-26
173,1.8014448569263786e-26,8.630509913695265e-23,1.1174402737438745e-26
174,1.7786281346749986e-26,8.61970864347543e-23,1.1028274027383206e-26
175,1.7562157782277397e-26,8.608921005020479e-23,1.0884771327449995e-26
176,1.7341984711017924e-26,8.598146979690684e-23,1.0743833712920963e-26
177,1.7125671615280066e-26,8.587386548897021e-23,1.0605401997195965e-26
178,1.6913130535103084e-26,8.576639694100494e-23,1.0469418672933156e-26
179,1.670427598234681e-26,8.565906396811464e-23,1.0335827855494937e-26
180,1.6499024858122018e-26,8.555186638589003e-23,1.0204575228597053e-26
181,1.6297296373413926e-26,8.54448040104027e-23,1.0075607992063548e-26
182,1.6099011972758651e-26,8.533787665819898e-23,9.94887481159496e-27
183,1.5904095260839315e-26,8.5231084146294e-23,9.824325770461716e-27
184,1.5712471931875088e-26,8.512442629216582e-23,9.701912323039096e-27
185,1.5524069701682452e-26,8.501790291374979e-23,9.581587250104031e-27
186,1.5338818242293994e-26,8.4911513829433e-23,9.46330461581799e-27
187,1.5156649119025355e-26,8.480525885804907e-23,9.347019726323785e-27
188,1.497749572988629e-26,8.469913781887269e-23,9.23268908988759e-27
189,1.4801293247236757e-26,8.459315053161461e-23,9.120270378520748e-27
190,1.4627978561593544e-26,8.448729681641665e-23,9.009722391019012e-27
191,1.445749022749752e-26,8.438157649384689e-23,8.901005017359852e-27
192,1.428976841135561e-26,8.427598938489474e-23,8.794079204401168e-27
193,1.412475484117585e-26,8.417053531096665e-23,8.688906922827461e-27
194,1.3962392758117388e-26,8.406521409388123e-23,8.585451135291953e-27
195,1.38026268697811e-26,8.3960025555865e-23,8.483675765705591e-27
196,1.3645403305169827e-26,8.385496951954821e-23,8.383545669626043e-27
197,1.3490669571250434e-26,8.375004580796046e-23,8.285026605702017e-27
198,1.3338374511053e-26,8.364525424452658e-23,8.188085208130177e-27
199,1.3188468263245475e-26,8.354059465306283e-23,8.092688960083958e-27
200,1.3040902223124663e-26,8.343606685777277e-23,7.998806168075315e-27
201,1.2895629004967338e-26,8.333167068324357e-23,7.906405937212266e-27
202,1.2752602405687515e-26,8.322740595444223e-23,7.815458147316706e-27
203,1.2611777369748511e-26,8.312327249671193e-23,7.72593342986851e-27
204,1.2473109955280571e-26,8.301927013576847e-23,7.637803145743543e-27
205,1.2336557301356988e-26,8.291539869769675e-23,7.551039363714494e-27
206,1.2202077596383831e-26,8.281165800894746e-23,7.465614839684914e-27
207,1.2069630047560123e-26,8.270804789633359e-23,7.381502996628028e-27
208,1.1939174851367418e-26,8.260456818702733e-23,7.29867790520325e-27
209,1.1810673165049294e-26,8.250121870855677e-23,7.217114265024324e-27
210,1.16840870790431e-26,8.23979992888028e-23,7.136787386554311e-27
211,1.1559379590327844e-26,8.229490975599617e-23,7.057673173603566e-27
212,1.1436514576653591e-26,8.219194993871426e-23,6.979748106407916e-27
213,1.1315456771619381e-26,8.208911966587851e-23,6.902989225265245e-27
214,1.1196171740567781e-26,8.198641876675116e-23,6.827374114709508e-27
215,1.1078625857265829e-26,8.188384707093279e-23,6.752880888202203e-27
216,1.0962786281343131e-26,8.178140440835934e-23,6.679488173322059e-27
217,1.0848620936459251e-26,8.16790906092996e-23,6.60717509743454e-27
218,1.0736098489173576e-26,8.157690550435245e-23,6.535921273823546e-27
219,1.0625188328492018e-26,8.147484892444437e-23,6.465706788268343e-27
220,1.0515860546065922e-26,8.137292070082689e-23,6.3965121860495585e-27
221,1.0408085917019535e-26,8.127112066507404e-23,6.328318459368615e-27
222,1.0301835881383428e-26,8.11694486490801e-23,6.261107035165722e-27
223,1.0197082526112042e-26,8.106790448505707e-23,6.1948597633220396e-27
224,1.0093798567664555e-26,8.096648800553243e-23,6.129558905232324e-27
225,9.991957335129e-27,8.086519904334685e-23,6.065187122734793e-27
226,9.891532753870354e-27,8.076403743165183e-23,6.001727467385563e-27
227,9.792499329684209e-27,8.066300300390774e-23,5.939163370065494e-27
228,9.694832133438163e-27,8.056209559388149e-23,5.87747863090771e-27
229,9.598506786183954e-27,8.046131503564442e-23,5.816657409534604e-27
230,9.503499444723933e-27,8.036066116357037e-23,5.756684215593508e-27
231,9.409786787616094e-27,8.026013381233355e-23,5.6975438995806644e-27
232,9.317346001602571e-27,8.015973281690655e-23,5.639221643943528e-27
233,9.226154768447012e-27,8.005945801255841e-23,5.581702954451824e-27
234,9.136191252166854e-27,7.995930923485266e-23,5.5249736518281226e-27
235,9.04743408664703e-27,7.98592863196455e-23,5.469019863629102e-27
236,8.959862363622192e-27,7.975938910308391e-23,5.4138280163689494e-27
237,8.873455621014938e-27,7.96596174216039e-23,5.359384827876715e-27
238,8.788193831618129e-27,7.955997111192865e-23,5.3056772998797285e-27
239,8.704057392109697e-27,7.946045001106669e-23,5.2526927108054786e-27
240,8.621027112388943e-27,7.93610539563105e-23,5.200418608794677e-27
241,8.539084205223492e-27,7.926178278523438e-23,5.14884280491842e-27
242,8.458210276196785e-27,7.916263633569317e-23,5.0979533665927525e-27
243,8.37838731394607e-27,7.90636144458204e-23,5.0477386111840384e-27
244,8.299597680681425e-27,7.896471695402675e-23,4.998187099798921e-27
245,8.221824102976605e-27,7.886594369899853e-23,4.949287631252778e-27
246,8.14504966282284e-27,7.876729451969605e-23,4.901029236210886e-27
247,8.069257788937083e-27,7.866876925535218e-23,4.8534011714966484e-27
248,7.994432248316474e-27,7.857036774547079e-23,4.806392914561496e-27
249,7.920557138031077e-27,7.847208982982523e-23,4.7599941581112424e-27
250,7.847616877247311e-27,7.837393534845716e-23,4.7141948048838706e-27
251,7.775596199474614e-27,7.827590414167472e-23,4.6689849625739e-27
252,7.704480145028342e-27,7.817799605005145e-23,4.62435493889867e-27
253,7.634254053701987e-27,7.80802109144248e-23,4.580295236802036e-27
254,7.564903557642126e-27,7.79825485758948e-23,4.5367965497911196e-27
255,7.49641457441974e-27,7.788500887582267e-23,4.493849757401943e-27
256,7.428773300291737e-27,7.77875916558296e-23,4.451445920789885e-27
257,7.36196620364676e-27,7.769029675779543e-23,4.409576278441068e-27
258,7.295980018629548e-27,7.759312402385731e-23,4.3682322420009105e-27
259,7.230801738938326e-27,7.749607329640861e-23,4.3274053922162004e-27
260,7.166418611789877e-27,7.73991444180975e-23,4.2870874749872e-27
261,7.102818132047175e-27,7.730233723182589e-23,4.2472703975263754e-27
262,7.039988036504564e-27,7.720565158074821e-23,4.207946224620499e-27
263,6.977916298325711e-27,7.710908730827012e-23,4.1691071749929514e-27
